Year;The organization works (1 - works, 0 - no);The organization receives agricultural production from the activity (1 - yes, 0 - no);Number of workers last year, persons;Average monthly salary of workers last year;Size of acreage last year, hectare;Conditional livestock of farm animals last year, heads;Quantity of agricultural machinery last year, pieces;Cost of fixed assets of the organization last year;Costs of production of the organization last year;Prime cost of the made agricultural production last year;Proceeds from sales of the made agricultural production last year;Profit on realization of the made agricultural production last year
2017;1;1;59;14165.25424;0;1269;10;84291;83258;57956;62738;4782
2017;1;1;18;14532.40741;4585;407;14;42297;22272;14917;14988;71
2017;1;1;4;17416.66667;752;0;5;1763;4117;2679;2715;36
2017;1;1;12;9465.277778;1137;183;7;19685;11950;10610;10759;149
2017;1;1;29;18408.04598;3148;0;23;92958;41858;26904;32052;5148
2017;1;0;1;13166.66667;1813;0;12;58774;629;629;870;241
2017;1;1;38;17500;3457;869;22;116770;83207;51570;54048;2478
2017;1;1;38;14927.63158;1991;156;23;37561;25819;16756;13053;-3703
2017;1;1;56;14348.21429;3400;0;0;3504;35747;26596;25253;-1343
2017;0;0;9;15222.22222;1067;454.85;6;54376;29418;16534;17482;948
2017;1;1;9;15212.96296;700;17.85;6;32705;10104;5779;4856;-923
2017;1;1;3;17027.77778;1346;0;4;12129;18766;16534;16351;-183
2017;0;0;8;14750;6919;0;6;89203;34067;16632;20236;3604
2017;1;1;112;16916.66667;3285;762;15;112452;104837;68176;58134;-10042
2017;1;1;166;18370.48193;6144;1939;28;536568;234393;177649;183767;6118
2017;1;1;7;15000;333;0;7;28236;15614;15548;16016;468
2017;1;1;4;14958.33333;135;0;2;4056;4157;3234;3237;3
2017;1;1;1.8;14351.85185;148;0;2;5539;3334;1954;2020;66
2017;1;1;4;15000;123;0;2;3379;3615;2626;2633;7
2017;1;1;7;15119.04762;696;0;8;113087;35536;30467;40814;10347
2017;1;1;7.7;11222.94372;806;0;18;173651;54278;46134;58990;12856
2017;1;1;45;15216.66667;1220;865;6;101373;68081;53645;49593;-4052
2017;1;1;3;15833.33333;90;0;1;32070;6980;3927;4661;734
2017;1;1;10;15675;646;0;11;22065;7926;6561;4935;-1626
2017;1;1;13;14615.38462;1169;0;9;203664;72307;57331;83433;26102
2017;1;1;2;15958.33333;263;0;9;14301;4160;3156;3951;795
2017;1;1;6;15486.11111;1428;0;6;27536;12606;11393;12481;1088
2017;1;1;3;18527.77778;235;658;0;10742;29302;32925;36188;3263
2017;1;1;3;11055.55556;408;0;2;1770;1792;1354;1798;444
2017;1;1;95;44751.75439;8151;0;32;893140;369074;285908;352189;66281
2017;1;1;39;29126.06838;1316;0;7;179070;86857;41540;39712;-1828
2017;1;1;55;19221.21212;1920;946;20;225273;153557;95190;88815;6375
2017;1;1;23;15851.44928;494;231;14;57100;35334;20047;19578;469
2017;1;1;18;9379.62963;4440;0;14;136522;50681;38272;42089;3817
2017;1;1;91;21683.15018;4881;1043;20;213818;135739;101528;104988;3460
2017;1;1;87;14751.91571;4491;635;31;242700;103796;65376;74058;8682
2017;1;1;119;24109.94398;1139;0;21;341857;458832;398444;445490;47046
2017;1;1;103;22059.06149;3257;1810;29;627720;271802;183160;191034;7874
2017;1;0;14;19970.2381;580;0;25;95668;15026;11147;16379;5232
2017;1;1;99;20117.00337;3120;1021;25;203107;148706;109031;113335;4304
2017;1;1;32;14427.08333;2567;728;4;48162;44485;35315;35218;-97
2017;1;1;2;14625;437;0;4;3596;5572;1861;2089;228
2017;1;1;24;14489.58333;3384;0;8;55012;41762;25720;23154;-2566
2017;1;1;1;24333.33333;630;0;1;8148;4466;5470;5134;-336
2017;1;1;2;14375;73;0;2;4803;4912;2981;3140;159
2017;1;1;146;17406.96347;4920;1299;26;318320;280127;167029;225893;58864
2017;1;1;26;14102.5641;0;594;6;35818;51578;42704;50602;7898
2017;1;1;3;18250;50;36;0;478;2330;6127;4705;-1422
2017;1;1;9;16685.18519;0;256;0;928;15343;13516;13701;185
2017;1;1;58;14824.71264;4854;99;16;38775;60618;52815;51491;-1324
2017;1;1;101;15670.79208;6169;1003;43;321725;121271;80967;79728;-1239
2017;1;1;122;14192.62295;6352;711;15;72934;103696;75905;74463;-1442
2017;1;1;76;11757.67544;6776;854;24;292646;75628;68921;62612;-6309
2017;1;1;57;11745.61404;3574;244;21;63380;66624;66624;46889;-19735
2017;1;1;6;10750;1717;36;6;44426;2424;2156;2363;207
2017;1;1;2;6208.333333;152;0;3;8943;870;730;377;-353
2017;1;1;67;14155.47264;2527;794;25;36899;62445;43447;44813;1366
2017;1;1;480;18610.59028;12664;3421.54;89;468382;624554;411475;477745;66270
2017;1;1;2;7000;1530;0;0;3217;914;848;808;-40
2017;1;1;2;5791.666667;0;4;0;625;644;332;257;-75
2017;1;1;10;6016.666667;3318;37;8;74771;6134;10607;5575;-5032
2017;1;1;1;2833.333333;0;4;0;5781;375;322;227;-95
2017;1;1;30;22455.55556;1870;0;1;5132;28810;15299;20715;5416
